education,skills,interests,experience,passout_year,career_preference,target_career
MBA,AI/ML;Communication;Critical Thinking;Data Analysis;Excel;Java;Problem Solving;SQL,Consulting;Data,1,2025,Government,Business Analyst
MCA,Cybersecurity;Python;SQL,Coding;Startup,5,2020,Startup Culture,Cloud Engineer
BCom,Data Analysis;Excel;Leadership;SQL,Business;Data,8,2017,High Salary,Operations Analyst
BSc,Communication;Critical Thinking;Data Analysis;Statistics;Writing,Data,0,2026,Government,Research Analyst
BCom,Communication;Data Analysis;Excel;Finance;Statistics,Data;Finance;Trading,2,2024,Job Security,Financial Analyst
BBA,Communication;Data Analysis;Excel;Leadership;Marketing;Video Editing,Business;Management,2,2024,High Salary,HR Analyst
MTech,Cloud;Machine Learning;Python;SQL;Teaching,Coding;Data,1,2025,Abroad Opportunity,AI Engineer
BBA,Communication;Data Analysis;Excel;Finance;Statistics,Data;Finance,2,2024,Remote Job,Financial Analyst
BTech,Cloud;Design;Leadership;Problem Solving;Python;SQL,Cybersecurity,2,2024,Remote Job,Cloud Engineer
MTech,AI/ML;Cloud;Data Analysis;Machine Learning;SQL;Statistics,AI;Coding,3,2023,High Salary,ML Engineer
MBA,Communication;Cybersecurity;Data Analysis;Leadership;Problem Solving,Business;Coding,1,2025,Job Security,HR Analyst
MCA,Cloud;Critical Thinking;Cybersecurity;Problem Solving;Python,Coding;Data,3,2023,High Salary,Cybersecurity Analyst
MBA,Communication;Critical Thinking;Cybersecurity;Excel;Leadership;Problem Solving;SQL,Business;Data,1,2025,Startup Culture,Business Analyst
BTech,Cloud;Machine Learning;Python;Statistics,Coding,2,2023,High Salary,ML Engineer
BCom,Communication;Data Analysis;Finance;Statistics;Teaching,Business;Coding;Data,3,2023,Job Security,Financial Analyst
BA,Canva;Communication;Critical Thinking;Design;Problem Solving,Business;Design,3,2023,Fast Growth,UI/UX Designer
MBA,Communication;Data Analysis;Excel;Marketing;Problem Solving,Business;Product Management,8,2018,Remote Job,Product Manager
BTech,Cloud;Problem Solving;Python;SQL,Coding,1,2025,Remote Job,Software Engineer
BCom,Communication;Critical Thinking;Data Analysis;Finance;Leadership;Problem Solving,Management,0,2026,Fast Growth,Management Consultant
BBA,Communication;Data Analysis;Finance;Public Speaking;Statistics,Business;Management,3,2023,Fast Growth,Financial Analyst
MCom,Critical Thinking;Design;Excel;Finance,Data;Trading,3,2022,High Salary,Investment Analyst
MBA,Communication;Data Analysis;Excel;Marketing;Statistics,Business;Data,4,2021,Remote Job,Marketing Analyst
BCom,Communication;Public Speaking;Writing,Marketing;Research,3,2023,Remote Job,Teacher
MBA,Communication;Critical Thinking;Excel;Finance;Machine Learning;Statistics;Video Editing,Coding;Data;Finance,0,2026,High Salary,Investment Analyst
BA,Communication;Critical Thinking;Public Speaking;Teaching;Writing,Healthcare;Research;Startup,0,2026,Job Security,Teacher
BCA,Data Analysis;Marketing;Problem Solving,Business;Consulting;Startup,1,2025,Startup Culture,Product Manager
MBA,Data Analysis;Excel;Finance;Marketing;Writing,Data;Marketing,1,2024,Government,Marketing Analyst
BBA,Communication;Leadership;Marketing;Problem Solving;Statistics,Business;Startup,8,2018,Job Security,Product Manager
BA,Critical Thinking;Public Speaking;Teaching,Teaching,0,2026,Fast Growth,Teacher
MCom,Communication;Data Analysis;Excel;Finance;Public Speaking;Python;Statistics,Data;Finance,0,2025,Job Security,Financial Analyst
BCA,Data Analysis;Excel;Power BI;Python;SQL;Statistics,Business,2,2024,Abroad Opportunity,Data Analyst
BSc,AI/ML;Data Analysis;Machine Learning;Python;SQL;Statistics,Cybersecurity;Data,5,2021,Fast Growth,Data Scientist
MCom,Critical Thinking;Excel;Statistics,Consulting;Data,8,2018,Startup Culture,Investment Analyst
MBA,Communication;Critical Thinking;Data Analysis;Finance;Leadership,Business;Consulting,0,2026,High Salary,Management Consultant
MCA,Cloud;Critical Thinking;Cybersecurity;Design,Cybersecurity,1,2025,High Salary,Cybersecurity Analyst
BA,AI/ML;Canva;Video Editing;Writing,Design;Marketing,5,2021,Startup Culture,Digital Marketer
BBA,Canva;Communication;Marketing;Teaching;Video Editing;Writing,Design;Marketing,1,2025,High Salary,Digital Marketer
BCom,Communication;Critical Thinking;Data Analysis;Excel;Marketing;Python;SQL,Data,3,2023,Remote Job,Business Analyst
MCA,Cloud;Problem Solving;SQL,Startup,2,2024,Remote Job,Cloud Engineer
BA,Canva;Communication;Data Analysis;Marketing;Video Editing;Writing,Design;Trading,4,2022,Government,Digital Marketer
BTech,AI/ML;Cloud;Machine Learning;Python;SQL;Statistics,AI;Coding,1,2024,High Salary,ML Engineer
BCom,Data Analysis;Excel;Finance;Power BI;Statistics,Business;Finance,1,2025,Job Security,Financial Analyst
BCA,AI/ML;Leadership;Marketing;Problem Solving,Marketing;Startup,3,2023,Job Security,Product Manager
MBA,Communication;Critical Thinking;Data Analysis;Finance;Leadership;Problem Solving,Consulting;Management,1,2025,Fast Growth,Management Consultant
MBA,Communication;Leadership;Marketing;Public Speaking;Writing,Business;Coding;Startup,2,2023,Government,Sales Manager
BA,Communication;Critical Thinking;Public Speaking;Teaching;Writing,Healthcare;Marketing;Teaching,1,2023,Job Security,Teacher
MCom,Communication;Excel;Finance;Statistics,Business,1,2023,Government,Financial Analyst
BTech,Cybersecurity;Java;Problem Solving;Public Speaking;Python;SQL,Cybersecurity,6,2020,Startup Culture,Cloud Engineer
BBA,Communication;Data Analysis;Excel;Marketing;Python;Statistics,Business;Healthcare;Marketing,5,2021,Job Security,Marketing Analyst
BTech,Canva;Communication;Data Analysis;Excel;Problem Solving;SQL,Data,6,2020,Government,Operations Analyst
BTech,AI/ML;Cloud;Design;Machine Learning;Problem Solving;Python;SQL;Sales,Data,1,2025,High Salary,AI Engineer
BA,Cloud;Communication;Critical Thinking;Public Speaking;Teaching;Writing,Healthcare,6,2020,Job Security,Teacher
BA,Communication;Critical Thinking;Design;Public Speaking;Teaching,Research;Teaching,1,2025,Job Security,Teacher
BBA,Canva;Communication;Marketing;Video Editing;Writing,Startup,3,2023,Startup Culture,Digital Marketer
BBA,Communication;Excel;Java;Leadership;Problem Solving,Business,5,2021,Job Security,HR Analyst
MCom,Cloud;Communication;Critical Thinking;Public Speaking;Python;Teaching,Healthcare,2,2023,Remote Job,Teacher
BSc,Communication;Data Analysis;Python;SQL;Statistics,AI;Research,3,2023,Fast Growth,Data Scientist
BCA,Cloud;Cybersecurity;Public Speaking;Python;SQL;Sales,Cybersecurity,3,2023,Remote Job,Cloud Engineer
BBA,Communication;Data Analysis;Excel;Marketing;Statistics,Business;Coding;Data,4,2021,Abroad Opportunity,Marketing Analyst
MTech,AI/ML;Cloud;Machine Learning;Public Speaking;Python;SQL;Statistics;Teaching,Data,4,2021,High Salary,ML Engineer
BSc,Communication;Critical Thinking;Teaching,Healthcare;Teaching,0,2026,Government,Teacher
BCom,Communication;Critical Thinking;Data Analysis;Excel;SQL;Tableau;Video Editing,Business;Consulting;Healthcare,1,2025,Government,Business Analyst
BCA,Data Analysis;Excel;Power BI;SQL,AI;Data,5,2021,Startup Culture,Data Analyst
MCA,AI/ML;Data Analysis;Leadership;Problem Solving;Python;SQL;Statistics,AI;Data,0,2026,Remote Job,Data Scientist
MCA,Cloud;Cybersecurity;Power BI;Problem Solving;Python;Writing,Consulting;Cybersecurity,0,2026,Remote Job,Cloud Engineer
BTech,Canva;Cybersecurity;Python;SQL;Sales,Startup,6,2020,Remote Job,Cloud Engineer
MBA,Data Analysis;Excel;Leadership,Data;Management,5,2021,Job Security,HR Analyst
MCom,Communication;Critical Thinking;Cybersecurity;Data Analysis;Public Speaking;Statistics;Writing,Healthcare;Research,6,2020,Government,Research Analyst
BTech,Cloud;Cybersecurity;Python;Writing,Coding;Data;Management,2,2024,Startup Culture,Cybersecurity Analyst
BTech,AI/ML;Data Analysis;Excel;Machine Learning;Public Speaking;SQL;Statistics,AI;Business;Research,2,2024,Fast Growth,Data Scientist
MTech,AI/ML;Communication;Machine Learning;Python;Statistics;Tableau,Data,2,2022,Fast Growth,Data Scientist
Other,Canva;Communication;Marketing;Video Editing;Writing,Design;Startup,8,2018,Government,Digital Marketer
BTech,Critical Thinking;Problem Solving;Public Speaking;Python,Coding;Cybersecurity;Management,5,2021,Fast Growth,Cybersecurity Analyst
BSc,Canva;Communication;Critical Thinking;Design;Finance,Management;Startup,1,2025,Remote Job,UI/UX Designer
BSc,Communication;Critical Thinking;Python;Tableau;Teaching;Writing,Data;Research;Teaching,6,2020,Job Security,Teacher
Other,Canva;Communication;Machine Learning;Marketing;Video Editing;Writing,Finance;Startup,0,2026,Startup Culture,Digital Marketer
MCom,Critical Thinking;Excel;Finance;Marketing;Statistics;Video Editing,Data;Finance;Marketing,4,2022,High Salary,Investment Analyst
